04:45:36.031 [http-bio-8080-exec-3] ERROR LoginCommand:52  - by.baranovskaya.exception.ServiceException: by.baranovskaya.exception.DAOException: Exception selecting client by login and passwordjava.sql.SQLException: Column 'id_role' not found.
04:45:54.950 [http-bio-8080-exec-9] ERROR LoginCommand:52  - by.baranovskaya.exception.ServiceException: by.baranovskaya.exception.DAOException: Exception selecting client by login and passwordjava.sql.SQLException: Column 'id_role' not found.
04:46:50.788 [http-bio-8080-exec-10] ERROR LoginCommand:52  - by.baranovskaya.exception.ServiceException: by.baranovskaya.exception.DAOException: Exception selecting client by login and passwordjava.sql.SQLException: Column 'id_role' not found.
04:48:36.008 [http-bio-8080-exec-9] ERROR LoginCommand:53  - by.baranovskaya.exception.ServiceException: by.baranovskaya.exception.DAOException: Exception selecting client by login and passwordjava.sql.SQLException: Column 'id_role' not found.
05:45:14.962 [http-bio-8080-exec-5] ERROR AddRoomCommand:49  - by.baranovskaya.exception.ServiceException: by.baranovskaya.exception.DAOException: Exception inserting roomcom.mysql.jdbc.exceptions.jdbc4.MySQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`hotel`.`rooms`, CONSTRAINT `id_type_fk` FOREIGN KEY (`id_type`) REFERENCES `types_room` (`id_type`) ON DELETE CASCADE ON UPDATE CASCADE)
05:47:54.768 [http-bio-8080-exec-6] ERROR AddRoomCommand:49  - by.baranovskaya.exception.ServiceException: by.baranovskaya.exception.DAOException: Exception inserting roomcom.mysql.jdbc.exceptions.jdbc4.MySQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`hotel`.`rooms`, CONSTRAINT `id_type_fk` FOREIGN KEY (`id_type`) REFERENCES `types_room` (`id_type`) ON DELETE CASCADE ON UPDATE CASCADE)
00:17:56.338 [http-bio-8080-exec-4] ERROR AddRoomCommand:56  - by.baranovskaya.exception.ServiceException: by.baranovskaya.exception.DAOException: Exception inserting roomcom.mysql.jdbc.exceptions.jdbc4.MySQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`hotel`.`rooms`, CONSTRAINT `id_type_fk` FOREIGN KEY (`id_type`) REFERENCES `types_room` (`id_type`) ON DELETE CASCADE ON UPDATE CASCADE)
23:48:11.800 [http-bio-8080-exec-1] ERROR PrintClientCommand:34  - by.baranovskaya.exception.ServiceException: by.baranovskaya.exception.DAOException: Exception selecting all clientscom.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '.clients JOIN roles ON roles.id_role = clients.id_role WHERE roles.role_name = '' at line 1
19:18:32.859 [http-bio-8080-exec-4] ERROR ReservationCommand:51  - by.baranovskaya.exception.ServiceException: by.baranovskaya.exception.DAOException: Exception inserting roomjava.sql.SQLException: Field 'status' doesn't have a default value
23:26:30.068 [http-bio-8080-exec-5] ERROR ReservationCommand:51  - by.baranovskaya.exception.ServiceException: by.baranovskaya.exception.DAOException: Exception selecting all servicecom.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ' arrival_date='2018-01-12', departure_date='2018-01-19'' at line 1
18:49:24.184 [http-bio-8080-exec-5] ERROR ChangeAccountInfoCommand:55  - by.baranovskaya.exception.ServiceException: by.baranovskaya.exception.DAOException: Exception updating avatarcom.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE id_client=20' at line 1
18:50:18.680 [http-bio-8080-exec-4] ERROR ChangeAccountInfoCommand:55  - by.baranovskaya.exception.ServiceException: by.baranovskaya.exception.DAOException: Exception updating avatarcom.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE id_client=20' at line 1
